signalName,t,tWall,value,unit
serial:COM8/phase_u_v,184840,1786320172589,8.076,V
serial:COM8/phase_v_v,184840,1786320172589,8.076,V
serial:COM8/phase_w_v,184840,1786320172589,8.103,V
serial:COM8/phase_u_i,184840,1786320172589,-0.004,A
serial:COM8/phase_v_i,184840,1786320172589,-0.036,A
serial:COM8/phase_w_i,184840,1786320172589,-0.036,A
serial:COM8/bench_duty,184842,1786320172589,0.000,
serial:COM8/motor_angle,184842,1786320172589,73.13,deg
serial:COM8/vbus_v,184842,1786320172589,19.572,V
serial:COM8/phase_u_v,184842,1786320172589,7.601,V
serial:COM8/phase_v_v,184842,1786320172589,7.596,V
serial:COM8/phase_w_v,184842,1786320172589,7.623,V
serial:COM8/phase_u_i,184842,1786320172589,0.044,A
serial:COM8/phase_v_i,184842,1786320172589,-0.052,A
serial:COM8/phase_w_i,184842,1786320172589,-0.020,A
serial:COM8/bench_duty,184844,1786320172589,0.000,
serial:COM8/motor_angle,184844,1786320172589,73.04,deg
serial:COM8/vbus_v,184844,1786320172589,19.582,V
serial:COM8/phase_u_v,184844,1786320172589,7.736,V
serial:COM8/phase_v_v,184844,1786320172589,7.747,V
serial:COM8/phase_w_v,184844,1786320172589,7.768,V
serial:COM8/phase_u_i,184844,1786320172589,-0.012,A
serial:COM8/phase_v_i,184844,1786320172589,-0.060,A
serial:COM8/phase_w_i,184844,1786320172589,-0.036,A
serial:COM8/bench_duty,184846,1786320172589,0.000,
serial:COM8/motor_angle,184846,1786320172589,73.06,deg
serial:COM8/vbus_v,184846,1786320172589,19.572,V
serial:COM8/phase_u_v,184846,1786320172589,7.893,V
serial:COM8/phase_v_v,184846,1786320172589,7.898,V
serial:COM8/phase_w_v,184846,1786320172589,7.925,V
serial:COM8/phase_u_i,184846,1786320172589,-0.020,A
serial:COM8/phase_v_i,184846,1786320172589,-0.036,A
serial:COM8/phase_w_i,184846,1786320172589,-0.044,A
serial:COM8/bench_duty,184848,1786320172589,0.000,
serial:COM8/motor_angle,184848,1786320172589,73.06,deg
serial:COM8/vbus_v,184848,1786320172589,19.577,V
serial:COM8/phase_u_v,184848,1786320172589,8.033,V
serial:COM8/phase_v_v,184848,1786320172589,8.038,V
serial:COM8/phase_w_v,184848,1786320172589,8.071,V
serial:COM8/phase_u_i,184848,1786320172589,-0.028,A
serial:COM8/phase_v_i,184848,1786320172589,-0.028,A
serial:COM8/phase_w_i,184848,1786320172589,-0.028,A
serial:COM8/bench_duty,184850,1786320172589,0.000,
serial:COM8/motor_angle,184850,1786320172589,73.13,deg
