signalName,t,tWall,value,unit
serial:COM8/phase_v_v,158876,1786321630384,7.531,V
serial:COM8/phase_w_v,158876,1786321630384,7.558,V
serial:COM8/motor_angle,158878,1786321630384,196.68,deg
serial:COM8/phase_u_v,158878,1786321630384,7.671,V
serial:COM8/phase_v_v,158878,1786321630384,7.677,V
serial:COM8/phase_w_v,158878,1786321630384,7.704,V
serial:COM8/motor_angle,158880,1786321630384,196.61,deg
serial:COM8/phase_u_v,158880,1786321630384,7.817,V
serial:COM8/phase_v_v,158880,1786321630384,7.833,V
serial:COM8/phase_w_v,158880,1786321630384,7.860,V
serial:COM8/motor_angle,158882,1786321630384,196.70,deg
serial:COM8/phase_u_v,158882,1786321630384,7.974,V
serial:COM8/phase_v_v,158882,1786321630384,7.979,V
serial:COM8/phase_w_v,158882,1786321630384,8.006,V
serial:COM8/motor_angle,158884,1786321630384,196.68,deg
serial:COM8/phase_u_v,158884,1786321630384,7.493,V
serial:COM8/phase_v_v,158884,1786321630384,7.504,V
serial:COM8/phase_w_v,158884,1786321630384,7.520,V
serial:COM8/motor_angle,158886,1786321630384,196.68,deg
serial:COM8/phase_u_v,158886,1786321630384,7.639,V
serial:COM8/phase_v_v,158886,1786321630384,7.655,V
serial:COM8/phase_w_v,158886,1786321630384,7.677,V
serial:COM8/motor_angle,158888,1786321630384,196.77,deg
serial:COM8/phase_u_v,158888,1786321630384,7.785,V
serial:COM8/phase_v_v,158888,1786321630384,7.790,V
serial:COM8/phase_w_v,158888,1786321630384,7.828,V
serial:COM8/motor_angle,158890,1786321630384,196.70,deg
serial:COM8/phase_u_v,158890,1786321630384,7.941,V
serial:COM8/phase_v_v,158890,1786321630384,7.947,V
serial:COM8/phase_w_v,158890,1786321630384,7.974,V
serial:COM8/motor_angle,158892,1786321630384,196.72,deg
serial:COM8/phase_u_v,158892,1786321630384,8.092,V
serial:COM8/phase_v_v,158892,1786321630384,8.092,V
serial:COM8/phase_w_v,158892,1786321630384,8.125,V
serial:COM8/motor_angle,158894,1786321630384,196.66,deg
serial:COM8/phase_u_v,158894,1786321630384,7.596,V
serial:COM8/phase_v_v,158894,1786321630384,7.623,V
serial:COM8/phase_w_v,158894,1786321630384,7.634,V
serial:COM8/motor_angle,158896,1786321630458,196.66,deg
serial:COM8/phase_u_v,158896,1786321630458,7.747,V
serial:COM8/phase_v_v,158896,1786321630458,7.763,V
serial:COM8/phase_w_v,158896,1786321630458,7.785,V
serial:COM8/motor_angle,158898,1786321630458,196.70,deg
serial:COM8/phase_u_v,158898,1786321630458,7.898,V
serial:COM8/phase_v_v,158898,1786321630458,7.903,V
serial:COM8/phase_w_v,158898,1786321630458,7.936,V
serial:COM8/motor_angle,158900,1786321630458,196.70,deg
serial:COM8/phase_u_v,158900,1786321630458,8.049,V
serial:COM8/phase_v_v,158900,1786321630458,8.060,V
serial:COM8/phase_w_v,158900,1786321630458,8.082,V
serial:COM8/motor_angle,158902,1786321630458,196.68,deg
serial:COM8/phase_u_v,158902,1786321630458,7.569,V
serial:COM8/phase_v_v,158902,1786321630458,7.585,V
serial:COM8/phase_w_v,158902,1786321630458,7.607,V
serial:COM8/motor_angle,158904,1786321630458,196.68,deg
serial:COM8/phase_u_v,158904,1786321630458,7.709,V
serial:COM8/phase_v_v,158904,1786321630458,7.725,V
serial:COM8/phase_w_v,158904,1786321630458,7.747,V
